楽曲名,難易度,楽曲レベル,クリアランク,スコアグレード,ハイスコア,EXスコア,プレー回数,クリア回数,ULTIMATE CHAIN,PERFECT
Lunartic Dial,EXHAUST,16,COMPLETE,AA,9344581,0,2,2,0,0
Unicorn tail Dustboxxxx RMX,EXHAUST,16,COMPLETE,AA+,9561869,0,1,1,0,0
少年は空を辿る Prog Piano Remix,EXHAUST,16,COMPLETE,AA+,9552785,0,2,2,0,0
GEROL,EXHAUST,16,COMPLETE,AA+,9572538,0,5,5,0,0
ネトゲ廃人シュプレヒコール,ADVANCED,9,COMPLETE,A,8788627,0,1,1,0,0
ネトゲ廃人シュプレヒコール,EXHAUST,14,COMPLETE,AAA+,9800420,0,2,2,0,0
HAELEQUIN,EXHAUST,17.5,COMPLETE,AA,9316804,0,1,1,0,0
アルストロメリア KURO-HACO Remix,EXHAUST,15,COMPLETE,A+,9188481,0,2,2,0,0
C18H27NO3,EXHAUST,16,COMPLETE,AA+,9503295,0,3,1,0,0
ラクガキスト,EXHAUST,16,COMPLETE,AA+,9571005,0,4,4,0,0
ロストワンの号哭,ADVANCED,8,COMPLETE,AAA,9759493,0,3,3,0,0
ロストワンの号哭,EXHAUST,13,COMPLETE,AAA+,9835349,0,2,1,0,0
VALLIS-NERIA,ADVANCED,11,COMPLETE,AA+,9661129,0,1,1,0,0
音楽 -壊音楽 mix-,EXHAUST,17.5,COMPLETE,A+,9203715,0,1,1,0,0
こちら、幸福安心委員会です。,ADVANCED,12,COMPLETE,AAA+,9848156,0,4,4,0,0
こちら、幸福安心委員会です。,EXHAUST,15,COMPLETE,AAA,9731391,0,6,5,0,0
サリシノハラ,ADVANCED,9,COMPLETE,AA+,9667590,0,1,1,0,0
honey trap,EXHAUST,12,COMPLETE,AA,9364244,0,1,1,0,0
Qubism,EXHAUST,16,COMPLETE,A+,9124490,0,1,1,0,0
げきオコスティックファイナリアリティぷんぷんマスタースパーク,EXHAUST,14,COMPLETE,S,9907902,0,1,1,0,0
自由のための不自由,EXHAUST,11,COMPLETE,B,8688915,0,1,1,0,0
Starlight Express,EXHAUST,16,COMPLETE,AA+,9513399,0,5,5,0,0
青春☆してるかい？READY&LADY!,NOVICE,5,COMPLETE,B,8139880,0,1,1,0,0
Foolish Hero,EXHAUST,14,COMPLETE,A+,9295602,0,1,1,0,0
Foolish Hero,EXCEED,18.4,COMPLETE,A+,9125122,0,1,1,0,0
Wheel,EXHAUST,16,COMPLETE,AA,9497189,0,1,1,0,0
The world of sound,EXHAUST,17.5,COMPLETE,A+,9076354,0,1,1,0,0
ナツノメイロ,EXHAUST,14,COMPLETE,AA+,9696153,0,1,1,0,0
ナイト・オブ・ナイツ,EXHAUST,15,COMPLETE,AAA,9701960,0,6,6,0,0
ナイト・オブ・ナイツ,INFINITE,17.5,COMPLETE,A+,9249850,0,3,2,0,0
Dynasty,EXHAUST,16,COMPLETE,AA+,9511349,0,2,2,0,0
Max Burning!!,EXHAUST,17.5,COMPLETE,AA,9488802,0,1,1,0,0
Absurd Gaff,EXHAUST,16,COMPLETE,AA,9466474,0,2,2,0,0
éclair au chocolat,GRAVITY,17.5,COMPLETE,AA+,9518459,0,1,1,0,0
大宇宙ステージ,EXHAUST,17,COMPLETE,A+,9261695,0,6,5,0,0
TRIGGER★HAPPY,EXHAUST,14,COMPLETE,AAA+,9841930,0,2,2,0,0
V.I.P.,EXHAUST,17.5,COMPLETE,AA,9418604,0,7,7,0,0
腐れ外道とチョコレゐト,EXHAUST,14,COMPLETE,AAA+,9851752,0,1,1,0,0
ルートスフィア,ADVANCED,6,COMPLETE,AAA+,9814814,0,1,1,0,0
ルートスフィア,EXHAUST,11,COMPLETE,A+,9044276,0,4,3,0,0
AA BlackY mix,EXHAUST,16,COMPLETE,AA,9454660,0,2,2,0,0
Tomorrow Perfume (tpz Despair Remix),EXHAUST,13,COMPLETE,A+,9221466,0,1,1,0,0
Tomorrow Perfume (C-Show Remix),EXHAUST,16,COMPLETE,AA+,9555084,0,2,2,0,0
幻想のサテライト,EXHAUST,16,COMPLETE,AA,9344352,0,1,1,0,0
taboo tears you up 2008,EXHAUST,15,COMPLETE,AA,9488337,0,1,1,0,0
Bad Apple!! feat. nomico,ADVANCED,7,COMPLETE,AA,9474043,0,1,1,0,0
Bad Apple!! feat. nomico,EXHAUST,12,COMPLETE,AAA,9765478,0,5,4,0,0
Bad Apple!! feat. nomico,INFINITE,16,COMPLETE,AAA,9717223,0,9,9,0,0
dreamin' feat.Ryu☆,ADVANCED,10,COMPLETE,A+,9075215,0,1,1,0,0
六兆年と一夜物語,ADVANCED,10,COMPLETE,A,8750000,0,2,2,0,0
六兆年と一夜物語,EXHAUST,14,COMPLETE,A+,9106445,0,1,1,0,0
SEED (DJ Noriken Remix),EXHAUST,14,COMPLETE,S,9931129,0,2,2,0,0
Fire Strike,HEAVENLY,17.5,COMPLETE,A+,9227066,0,1,1,0,0
Onigo,EXHAUST,16,COMPLETE,AAA,9736297,0,9,7,0,0
サヨナラ・ヘヴン （かめりあ's NEKOMATAelectroRMX）,EXHAUST,12,COMPLETE,A,8925501,0,1,1,0,0
Space Diver Tama,HEAVENLY,17.5,COMPLETE,AA,9450980,0,1,1,0,0
SOUL EXPLOSION,EXCEED,17,COMPLETE,AA,9480111,0,4,4,0,0
Nyan Cat,EXHAUST,13,COMPLETE,AAA+,9829829,0,2,2,0,0
Nyan Cat,INFINITE,16,COMPLETE,AA+,9694971,0,18,18,0,0
香港功夫大旋風,EXHAUST,16,COMPLETE,AA+,9560897,0,5,5,0,0
neu BSP style,EXHAUST,16,COMPLETE,AA+,9514187,0,3,3,0,0
不思議玩具ガンガラディンドン,ADVANCED,8,COMPLETE,A,8994169,0,1,1,0,0
FLOWER REDALiCE Remix,EXHAUST,16,COMPLETE,AA+,9515749,0,10,8,0,0
ヤサイマシ☆ニンニクアブラオオメ,INFINITE,16,COMPLETE,AAA,9768401,0,2,2,0,0
遠く Dexholic Mix,EXHAUST,11,COMPLETE,AA+,9520333,0,2,2,0,0
冥 Rockin' SWING REMIX,EXHAUST,16,COMPLETE,AA+,9671175,0,4,1,0,0
ALBIDA Powerless Mix,ADVANCED,12,COMPLETE,B,8437843,0,1,1,0,0
good high school,INFINITE,17.5,COMPLETE,A+,9085294,0,1,1,0,0
smooooch・∀・ KN mix,EXCEED,17.5,COMPLETE,AAA,9717994,0,9,4,0,0
西日暮里の踊り,INFINITE,16,COMPLETE,AA,9497153,0,1,1,0,0
Ha･lle･lu･jah,INFINITE,15,COMPLETE,AA+,9692622,0,1,1,0,0
PULSE LASER,INFINITE,16,COMPLETE,AA+,9649517,0,2,2,0,0
